Own,,,,Base Frames Mastered,,,,,Prime Frames Mastered,,,,,,Prime Frame Completion,,,,,,,,,Companion,Completion,# Parts,Main,Systems,Cerebrum,Carapace,,,
,,,,,,,,,,,,,,,Prime Warframe,%,Main,Systems,Neuro,Chassis,Set Total,Parts Needed,,Nautilus,50%,2,X,,X,,,,
,,,,,,,,,,,,,,,Atlas Prime,75%,X,Crafted,Crafted,15,15,1,,Helios Prime,50%,2,,X,X,,,,
,,,,54 / 65 (11 Missing),,,,,31 / 49 (18 Missing),,,,,,Banshee Prime,50%,X,25,Crafted,15,40,2,,Shade Prime,50%,2,X,,X,,,,
Base Frame,Prime Frame,Subsumed,,,,,,,,,,,,,Citrine Prime,Unreleased,,,,,,,,,,,,,,,,,
Complete ✔,Ash Prime,Ash,,,,,,,,,,,,,Cyte-09 Prime,Unreleased,,,,,,,,Companions,,,,,,,,,
Atlas,,,,,,,,,,,,,,,Dagath Prime,Unreleased,,,,,,,,,,,,,,,,,
Banshee,,,,,,,,,,,,,,,Dante Prime,Unreleased,,,,,,,,Nautilus,Carrier,Dethcube,Helios,Wyrm,Shade,Taxon,Diriga,Djinn,Oxylus
,Baruuk Prime,,,83.08%,,,,,63.27%,,,,,,Equinox Prime,75%,X,25,Crafted,Crafted,25,1,,Verglas,Sweeper Shotgun,Deth Machine Rifle,Deconstructor,Laser Rifle,Burst Laser,Artax,Vulklok Sniper Rifle,Stinger,Multron Burst Rifle
,Caliban Prime,,,,,,,,,,,,,,Follie Prime,Unreleased,,,,,,,,Nautilus Prime,Carrier Prime,Dethcube Prime,Helios Prime,Wyrm Prime,Prisma Shade,,,,
Complete ✔,Chroma Prime,Chroma,,,,,,,,,,,,,Frost Prime,75%,25,Crafted,Crafted,Crafted,25,1,,Verglas Prime,Sweeper Shotgun Prime,Deth Machine Rifle Prime,Deconstructor Prime,Laser Rifle Prime,Prisma Burst Laser,,,,
Citrine,No Prime,,,,,,,,,,,,,,Gara Prime,50%,X,Crafted,10,15,25,2,,,,,,,Shade Prime,,,,
Cyte-09,No Prime,,,,,,,,,,,,,,Harrow Prime,75%,X,20,Crafted,Crafted,20,1,,Vizier Predasite,Pharaoh Predasite,Medjay Predasite,,,Burst Laser Prime,,,,
Complete ✔,No Prime,Dagath,,"Unique Warframe Completion
(Base or Prime)",,,,,Subsume Completion,,,,,,Inaros Prime,75%,X,Crafted,15,Crafted,15,1,,Adarza Kavat,Smeeta Kavat,Vasca Kavat,,,,,,,
Dante,No Prime,,,,,,,,,,,,,,Jade Prime,Unreleased,,,,,,,,Sly Vulpaphyla,Crescent Vulpaphyla,Panzer Vulpaphyla,,,,,,,
Complete ✔,Ember Prime,Ember,,,,,,,,,,,,,Koumei Prime,Unreleased,,,,,,,,Chesa Kubrow,Huras Kubrow,Raksa Kubrow,Sahasa Kubrow,Sunika Kubrow,Helminth Charger,,,,
Equinox,,,,65 / 65 (0 Missing),,,,,24 / 65 (41 Missing),,,,,,Kullervo Prime,Unreleased,,,,,,,,,,,,,,,,,
Complete ✔,Excalibur Umbra,Excalibur,,,,,,,,,,,,,Limbo Prime,25%,5,Crafted,10,45,60,3,,Bhaira Hound,Dorma Hound,Hec Hound,,Lambeo Moa,Oloro Moa,Para Moa,Nychus Moa,,
Frost,,Frost,,,,,,,,,,,,,Loki Prime,75%,X,65,Crafted,Crafted,65,1,,Lacerten,Batoten,Akaten,,Helstrum,Tazicor,Cryotra,Vulcax,,
Follie,No Prime,Follie,,,,,,,,,,,,,Mag Prime,0%,40,20,10,10,80,4,,,,,,,,,,,
Gara,,,,,,,,,,,,,,,Nokko Prime,Unreleased,,,,,,,,Kitguns,,,,,,,,,
Complete ✔,Garuda Prime,Garuda,,100.00%,,,,,36.92%,,,,,,Nyx Prime,25%,X,20,10,20,50,3,,,,,,,,,,,
,Gauss Prime,,,,,,,,,,,,,,Octavia Prime,0%,50,10,10,15,85,4,,,Fortuna,,,,,Deimos,,,
,Grendel Prime,,,,,,,,,,,,,,Oraxia Prime,Unreleased,,,,,,,,,,,,,,,,,
,Gyre Prime,,,,,,,,,,,,,,Qorvex Prime,Unreleased,,,,,,,,Kitgun,Catchmoon,Gaze,Rattleguts,Tombfinger,,Sporelacer,Vermisplicer,,
Harrow,,,,,,,,,,,,,,,Rhino Prime,0%,30,20,20,20,90,4,,Grip,Shrewd,Brash,Steadyslam,Ramble,,Ulnaris,-,,
,Hildryn Prime,,,,,,,,,,,,,,Sirius & Orion Prime,Unreleased,,,,,,,,Loader,Swiftfire,Killstream,Bellows,Splat,,-,-,,
Complete ✔,Hydroid Prime,Hydroid,,,,,,,,,,,,,Styanax Prime,0%,20,20,30,15,85,4,,Grips,,,,,,,,,
Inaros,,,,,,,,,,,,,,,Temple Prime,Unreleased,,,,,,,,,,,,,,,,,
Complete ✔,Ivara Prime,Ivara,,,,,,,,,,,,,Titania Prime,50%,20,15,Crafted,Crafted,35,2,,Primary,Brash,Shrewd,Steadyslam,Tremor,,Palmaris,,,
Jade,No Prime,,,,,,,,,,,,,,Uriel Prime,Unreleased,,,,,,,,Secondary,Gibber,Ramble,Lovetap,Haymaker,,Ulnaris,,,
Complete ✔,Khora Prime,Khora,,,,,,,,,,,,,Vauban Prime,75%,X,X,20,Crafted,20,1,,Loaders,,,,,,,,,
Koumei,No Prime,,,,,,,,,,,,,,Voruna Prime,25%,30,X,5,5,40,3,,,,,,,,,,,
Complete ✔,No Prime,Kullervo,<-Needs Redone for MP,,,,,,,,,,,,Wukong Prime,0%,15,10,10,10,45,4,,,Bashrack,Deepbreath,Killstream,Slap,,Arcroid,Macro Thymoid,,
Complete ✔,Lavos Prime,Lavos,,,,,,,,,,,,,Zephyr Prime,50%,15,10,Crafted,Crafted,25,2,,,Bellows,Flutterfire,Ramflare,Zip,,,,,
Limbo,,,,,,,,,,,,,,,Subsume Frame Completion,,,,,,,,,,Slapneedle,Splat,Swiftfire,Zipfire,,Macro Arcroid,Thymoid,,
Loki,,,,,,,,,,,,,,,Warframe,%,Main,Systems,Neuro,Chassis,Acquisition,Parts Needed,,,Sparkfire,Stitch,Thunderdrum,Zipneedle,,,,,
Mag,,,,,,,,,,,,,,,Baruuk,0%,,,,,Vox Solaris (Fortuna) – Purchase all parts with Standing [Rank 3 - Little Duck],4,,,,,,,,,,,
Complete ✔,Mesa Prime,Mesa,,,,,,,,,,,,,Caliban,25%,X,,,,Narmer Bounties (Plains of Eidolon & Orb Vallis),3,,,,,,,,,,,
Complete ✔,Mirage Prime,Mirage,,,,,,,,,,,,,Citrine,0%,,,,,Otok,4,,,,,,,,,,,
Complete ✔,Nekros Prime,Nekros,,,,,,,,,,,,,Cyte-09,0%,,,,,1999 - Standing,4,,,,,,,,,,,
Complete ✔,Nezha Prime,Nezha,,,,,,,,,,,,,Dante,0%,,,,,Sanctum,4,,,,,,,,,,,
,Nidus Prime,,,,,,,,,,,,,,Gauss,25%,X,,,,"Disruption missions (Ceres, Jupiter, Neptune, Sedna)",3,,,,,,,,,,,
